MLSNum,AgentID
170553721,1
170541793,2
170551333,3
170550670,4
170548069,5
170531145,6
170552447,7
170550241,8
170484953,9
170483845,10
170464418,11
170541975,12
170521825,13
170492259,14
170530489,15
170536971,16
170524899,17
170472360,7
170513649,18
170511956,5
170482060,7
170476858,19
170508455,6
170485681,17
170532056,20
170499694,21
170475779,22
170495311,23
170521290,7
170480532,24
170478202,25
170494413,26
170513348,27
170496742,5
170556660,28
170395294,29
170556970,30
170550011,31
170556716,32
170551624,33
170541926,34
170553195,35
170548113,35
170551122,12
170535065,36
170500000,37
170500029,38
170529658,39
170466235,40
170529512,41
170535834,42
170402872,43
170465469,44
170519512,45
170508478,46
170475158,42
170517343,47
170508183,48
170496772,49
170545210,50
170519762,51
170493959,52
170529278,53
170532705,54
170469606,55
170495855,56
170528387,57
170518886,54
170514108,58
170492130,59
170479863,35
170492897,60
170481429,61
170479348,54
170459063,62
170468248,63
170489394,42
170493336,64
170465761,65
170532422,66
170476412,67
170535782,68
170483339,62
170472174,69
170523440,54
170484219,70
170465676,71
170508568,54
170521909,72
170477504,73
170525038,74
170470762,42
170466639,75
170503530,76
170478441,54
170489203,63
170496154,38
170517570,77
170556275,10
170553549,78
170556534,79
170542969,80
170551904,81
170551407,82
170549375,83
170555169,84
170276288,85
170465149,85
170446438,86
170455239,87
170526102,88
170486665,89
170517342,90
170482978,91
170495130,92
170471259,93
170505189,94
170467624,95
170497006,96
170474519,97
170473929,98
170514704,99
170508230,100
170498429,101
170487254,102
170526308,103
170519241,104
170517138,105
170515157,106
170499864,107
170497152,106
170489441,108
170476591,109
170445783,110
170535423,111
170502185,112
170493178,113
170545064,114
170516044,115
170547131,116
170541561,117
170472339,118
170459484,119
170465922,120
170490176,121
170503795,82
170538199,122
170528081,123
170502007,124
170468821,125
170485406,126
170456753,127
170488037,128
170490360,129
170519227,130
170526424,131
170485649,132
170483602,133
170525885,134
170528906,99
170501059,135
170484852,136
170507264,137
170529383,138
170474232,139
170526006,140
170466151,141
170545943,142
170488891,143
170505007,144
170463793,145
170469942,146
170530428,147
170472518,148
170501287,149
170486081,150
170476947,151
170491405,99
170487770,152
170536395,153
170551781,154
170495540,155
170490215,156
170506685,157
170534818,158
170475742,159
170467414,160
170507004,161
170471381,162
170469108,163
170527197,164
170496138,165
170476436,166
170502430,167
